Time	Waarde	Status	Kwaliteit	Reason	Status	Suppression Type
23-9-2025 8:15:49.837	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-9-2025 14:25:13.733	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
10-9-2025 11:09:47.775	1	Normal	Goed	Huidige Data	Valid	None
10-9-2025 10:38:26.275	5	Normal	Goed	Huidige Data	Valid	None
10-9-2025 9:27:23.125	1	Normal	Goed	Huidige Data	Valid	None
10-9-2025 9:15:31.625	5	Normal	Goed	Huidige Data	Valid	None
10-9-2025 9:13:32.325	4	Normal	Goed	Huidige Data	Valid	None
10-9-2025 9:13:28.125	3	Normal	Goed	Huidige Data	Valid	None
9-9-2025 14:25:14.083	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
9-9-2025 9:30:46.062	1	Normal	Goed	Huidige Data	Valid	None
9-9-2025 8:29:14.212	5	Normal	Goed	Huidige Data	Valid	None
9-9-2025 8:27:14.112	4	Normal	Goed	Huidige Data	Valid	None
9-9-2025 8:27:10.912	3	Normal	Goed	Huidige Data	Valid	None
13-8-2025 7:44:19.165	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
13-8-2025 7:28:15.794	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-8-2025 14:25:14.071	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-8-2025 9:18:24.456	1	Normal	Goed	Huidige Data	Valid	None
7-8-2025 9:18:24.306	3	Normal	Goed	Huidige Data	Valid	None
7-8-2025 9:16:45.906	4	Normal	Goed	Huidige Data	Valid	None
7-8-2025 9:16:38.656	3	Normal	Goed	Huidige Data	Valid	None
7-7-2025 7:02:02.627	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-7-2025 6:47:09.637	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-7-2025 16:53:38.114	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
2-7-2025 14:51:34.319	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-5-2025 7:27:41.431	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-5-2025 7:14:09.603	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-5-2025 14:25:13.657	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-5-2025 10:39:12.953	1	Normal	Goed	Huidige Data	Valid	None
20-5-2025 9:01:13.503	5	Normal	Goed	Huidige Data	Valid	None
20-5-2025 8:59:14.303	4	Normal	Goed	Huidige Data	Valid	None
20-5-2025 8:59:01.353	3	Normal	Goed	Huidige Data	Valid	None
16-4-2025 2:25:13.757	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-4-2025 15:36:00.587	1	Normal	Goed	Huidige Data	Valid	None
15-4-2025 15:22:32.437	5	Normal	Goed	Huidige Data	Valid	None
15-4-2025 15:20:33.037	4	Normal	Goed	Huidige Data	Valid	None
15-4-2025 15:20:28.787	3	Normal	Goed	Huidige Data	Valid	None
15-4-2025 14:25:14.078	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
15-4-2025 13:44:55.337	1	Normal	Goed	Huidige Data	Valid	None
15-4-2025 11:47:06.437	5	Normal	Goed	Huidige Data	Valid	None
15-4-2025 11:45:06.937	4	Normal	Goed	Huidige Data	Valid	None
15-4-2025 11:45:01.587	3	Normal	Goed	Huidige Data	Valid	None
15-4-2025 11:33:17.887	1	Normal	Goed	Huidige Data	Valid	None
15-4-2025 11:32:21.387	3	Normal	Goed	Huidige Data	Valid	None
31-3-2025 9:22:31.139	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
31-3-2025 9:08:47.902	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-2-2025 22:12:49.352	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
20-2-2025 18:55:47.031	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
28-1-2025 1:25:13.970	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
27-1-2025 15:14:18.368	1	Normal	Goed	Huidige Data	Valid	None
27-1-2025 14:07:50.368	5	Normal	Goed	Huidige Data	Valid	None
27-1-2025 13:49:58.568	1	Normal	Goed	Huidige Data	Valid	None
27-1-2025 13:25:14.144	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
27-1-2025 12:45:08.718	2	Normal	Goed	Huidige Data	Valid	None
26-1-2025 1:25:14.015	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
25-1-2025 14:43:02.691	1	Normal	Goed	Huidige Data	Valid	None
25-1-2025 14:39:17.091	2	Normal	Goed	Huidige Data	Valid	None
9-1-2025 1:25:13.692	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
8-1-2025 13:46:01.933	1	Normal	Goed	Huidige Data	Valid	None
8-1-2025 13:25:13.619	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
8-1-2025 10:40:57.133	2	Normal	Goed	Huidige Data	Valid	None
8-1-2025 10:32:23.533	1	Normal	Goed	Huidige Data	Valid	None
8-1-2025 9:10:55.534	5	Normal	Goed	Huidige Data	Valid	None
8-1-2025 8:53:13.733	1	Normal	Goed	Huidige Data	Valid	None
8-1-2025 5:32:51.733	2	Normal	Goed	Huidige Data	Valid	None
8-1-2025 4:00:46.933	1	Normal	Goed	Huidige Data	Valid	None
8-1-2025 1:25:14.099	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
8-1-2025 0:20:31.908	2	Normal	Goed	Huidige Data	Valid	None
7-1-2025 13:25:13.931	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-1-2025 9:02:12.724	1	Normal	Goed	Huidige Data	Valid	None
7-1-2025 8:58:16.724	5	Normal	Goed	Huidige Data	Valid	None
7-1-2025 8:40:32.924	1	Normal	Goed	Huidige Data	Valid	None
7-1-2025 7:30:46.874	2	Normal	Goed	Huidige Data	Valid	None
7-1-2025 4:08:48.074	1	Normal	Goed	Huidige Data	Valid	None
7-1-2025 2:48:18.842	2	Normal	Goed	Huidige Data	Valid	None
7-1-2025 1:25:13.979	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-1-2025 0:23:28.992	1	Normal	Goed	Huidige Data	Valid	None
6-1-2025 19:58:51.804	2	Normal	Goed	Huidige Data	Valid	None
6-1-2025 14:20:49.921	1	Normal	Goed	Huidige Data	Valid	None
6-1-2025 13:25:13.702	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-1-2025 3:49:23.371	2	Normal	Goed	Huidige Data	Valid	None
27-12-2024 1:25:13.953	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-12-2024 22:52:05.360	1	Normal	Goed	Huidige Data	Valid	None
26-12-2024 13:57:35.421	5	Normal	Goed	Huidige Data	Valid	None
26-12-2024 13:38:24.771	1	Normal	Goed	Huidige Data	Valid	None
26-12-2024 13:25:13.888	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
26-12-2024 12:27:14.571	2	Normal	Goed	Huidige Data	Valid	None
20-12-2024 1:25:14.103	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
19-12-2024 13:53:41.959	1	Normal	Goed	Huidige Data	Valid	None
19-12-2024 13:53:40.709	3	Normal	Goed	Huidige Data	Valid	None
19-12-2024 13:51:53.709	4	Normal	Goed	Huidige Data	Valid	None
19-12-2024 13:51:51.759	3	Normal	Goed	Huidige Data	Valid	None
16-12-2024 8:49:37.288	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
16-12-2024 8:35:08.684	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
7-12-2024 1:25:13.992	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-12-2024 17:05:04.459	1	Normal	Goed	Huidige Data	Valid	None
6-12-2024 13:25:13.926	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-12-2024 11:30:07.453	2	Normal	Goed	Huidige Data	Valid	None
6-12-2024 9:37:48.454	1	Normal	Goed	Huidige Data	Valid	None
6-12-2024 1:25:14.090	2	Normal	Goed	Huidige Data	Valid; Time Substituted	None
6-12-2024 1:11:18.821	2	Normal	Goed	Huidige Data	Valid	None
15-11-2024 1:25:13.937	1	Normal	Goed	Huidige Data	Valid; Time Substituted	None
14-11-2024 15:59:19.949	1	Normal	Goed	Huidige Data	Valid	None
