Time;Waarde;Status;Kwaliteit;Reason;Status.1;Suppression Type
2025-09-23 08:15:38.196;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-09-10 14:25:02.139;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-09-10 11:09:48.025;3;Normal;Goed;Huidige Data;Valid;
2025-09-10 10:38:29.125;2;Normal;Goed;Huidige Data;Valid;
2025-09-09 14:25:02.474;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-09-09 06:51:04.812;3;Normal;Goed;Huidige Data;Valid;
2025-09-09 06:50:18.712;35;Normal;Goed;Huidige Data;Valid;
2025-08-13 07:44:07.571;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-08-13 07:28:04.178;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-07-07 07:01:51.017;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-07-07 06:46:58.044;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-07-02 16:53:26.521;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-07-02 14:51:20.604;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-05-28 07:27:29.821;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-05-28 07:13:57.728;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-05-20 14:25:02.047;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-05-20 10:39:13.153;3;Normal;Goed;Huidige Data;Valid;
2025-05-20 09:12:23.353;2;Normal;Goed;Huidige Data;Valid;
2025-04-15 14:25:02.469;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-04-15 12:04:54.037;3;Normal;Goed;Huidige Data;Valid;
2025-04-15 11:45:00.637;2;Normal;Goed;Huidige Data;Valid;
2025-04-15 11:43:05.087;3;Normal;Goed;Huidige Data;Valid;
2025-04-15 11:36:06.937;2;Normal;Goed;Huidige Data;Valid;
2025-03-31 09:22:19.545;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-03-31 09:08:36.309;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-02-20 22:12:37.742;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2025-02-20 18:55:31.968;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-12-20 01:25:02.494;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-12-19 13:43:52.659;3;Normal;Goed;Huidige Data;Valid;
2024-12-19 13:43:51.659;2;Normal;Goed;Huidige Data;Valid;
2024-12-16 08:49:25.694;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-12-16 08:34:57.293;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-12-06 13:25:02.348;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-12-06 11:30:07.303;3;Normal;Goed;Huidige Data;Valid;
2024-12-06 09:59:07.303;2;Normal;Goed;Huidige Data;Valid;
2024-12-06 09:37:28.303;34;Normal;Goed;Huidige Data;Valid;
2024-12-06 07:59:08.003;35;Normal;Goed;Huidige Data;Valid;
2024-11-06 01:25:02.093;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-11-05 14:19:21.436;3;Normal;Goed;Huidige Data;Valid;
2024-11-05 13:58:18.836;2;Normal;Goed;Huidige Data;Valid;
2024-10-23 14:25:02.378;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-10-23 09:36:00.119;3;Normal;Goed;Huidige Data;Valid;
2024-10-23 08:23:54.719;1;Normal;Goed;Huidige Data;Valid;
2024-10-23 02:25:02.446;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-10-22 16:00:49.420;3;Normal;Goed;Huidige Data;Valid;
2024-10-22 14:34:12.720;1;Normal;Goed;Huidige Data;Valid;
2024-10-21 09:12:06.627;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-10-21 08:56:26.899;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-10-10 02:25:02.246;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-10-09 15:12:06.739;3;Normal;Goed;Huidige Data;Valid;
2024-10-09 15:09:37.189;2;Normal;Goed;Huidige Data;Valid;
2024-10-08 14:25:02.400;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-10-08 09:20:53.198;3;Normal;Goed;Huidige Data;Valid;
2024-10-08 07:31:06.898;1;Normal;Goed;Huidige Data;Valid;
2024-10-02 14:25:02.069;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-10-02 11:05:02.065;3;Normal;Goed;Huidige Data;Valid;
2024-10-02 07:42:55.365;1;Normal;Goed;Huidige Data;Valid;
2024-09-24 14:25:02.119;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-09-24 10:25:08.063;3;Normal;Goed;Huidige Data;Valid;
2024-09-24 08:35:38.913;2;Normal;Goed;Huidige Data;Valid;
2024-09-05 07:36:51.038;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-09-05 07:22:25.334;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-07-15 07:40:54.020;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-07-15 07:29:03.896;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-06-18 18:33:07.832;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-06-18 14:46:14.235;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-06-18 14:23:16.373;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-06-13 11:38:29.945;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-06-13 11:24:09.845;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-06-10 15:07:07.395;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-06-10 13:30:15.426;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-05-29 16:33:35.618;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-05-21 10:21:43.142;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-05-21 10:01:31.690;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-05-17 02:25:02.479;3;Normal;Goed;Huidige Data;"Valid; Time Substituted";
2024-05-16 15:06:58.019;3;Normal;Goed;Huidige Data;Valid;
