datumtijd,eenheid,waarde,weibull T
2024-01-05 08:16:40,mNAP,1.619,21.0
2007-07-06 16:15:00,mNAP,1.388,10.5
2023-01-15 00:52:00,mNAP,1.383,7.0
2022-02-22 12:18:33,mNAP,1.373,5.25
2017-12-15 09:00:00,mNAP,1.324,4.2
2011-01-15 11:45:00,mNAP,1.275,3.5
2012-01-02 10:15:00,mNAP,1.168,3.0
2020-02-24 06:10:30,mNAP,1.167,2.62
2013-10-15 03:45:00,mNAP,1.148,2.33
2008-11-11 10:30:00,mNAP,1.114,2.1
2006-03-27 10:15:00,mNAP,1.102,1.91
2015-12-01 11:15:00,mNAP,1.075,1.75
2009-12-30 08:15:00,mNAP,1.062,1.62
2019-02-11 15:15:00,mNAP,1.053,1.5
2016-01-15 08:15:00,mNAP,1.045,1.4
2010-04-05 00:00:00,mNAP,1.028,1.31
2021-01-31 03:09:11,mNAP,1.024,1.24
2014-08-26 20:15:00,mNAP,1.004,1.17
2025-01-05 20:47:30,mNAP,0.996,1.11
2018-01-18 20:30:00,mNAP,0.994,1.05
